"1843D | A Wide, Wide Graph",https://codeforces.com/problemset/problem/1805/D,"dfs and similar,dp,graphs,greedy,trees"
1843C | Place for a Selfie,https://codeforces.com/problemset/problem/1805/C,"binary search,data structures,geometry,math"
1843B | The String Has a Target,https://codeforces.com/problemset/problem/1805/B,"greedy,strings"
1843A | We Need the Zero,https://codeforces.com/problemset/problem/1805/A,"bitmasks,brute force"
1841F | Code Lock,https://codeforces.com/problemset/problem/1804/H,"bitmasks,dp"
1841E | Flow Control,https://codeforces.com/problemset/problem/1804/G,"data structures,dsu,implementation"
1841D | Approximate Diameter,https://codeforces.com/problemset/problem/1804/F,"binary search,divide and conquer,graphs,shortest paths"
1841C | Routing,https://codeforces.com/problemset/problem/1804/E,"bitmasks,brute force,dfs and similar,dp,graphs"
1841B | Accommodation,https://codeforces.com/problemset/problem/1804/D,"brute force,dp,greedy,implementation"
1841A | Pull Your Luck,https://codeforces.com/problemset/problem/1804/C,"brute force,greedy,math,number theory"
1840G2 | Vaccination,https://codeforces.com/problemset/problem/1804/B,"greedy,implementation"
1840G1 | Lame King,https://codeforces.com/problemset/problem/1804/A,"greedy,math"
1840F | Settlement of Guinea Pigs,https://codeforces.com/problemset/problem/1802/B,"greedy,implementation,math"
1840E | Likes,https://codeforces.com/problemset/problem/1802/A,"greedy,implementation"
1840D | A task for substrings,https://codeforces.com/problemset/problem/1801/G,"data structures,string suffix structures,strings"
1840C | Another n-dimensional chocolate bar,https://codeforces.com/problemset/problem/1801/F,"dp,math,meet-in-the-middle,number theory"
1840B | Gasoline prices,https://codeforces.com/problemset/problem/1801/E,"data structures,divide and conquer,dsu,hashing,trees"
1840A | The way home,https://codeforces.com/problemset/problem/1801/D,"binary search,data structures,dp,graphs,greedy,shortest paths,sortings"
1839E | Music Festival,https://codeforces.com/problemset/problem/1801/C,"binary search,data structures,dp,greedy,sortings"
1839D | Buying gifts,https://codeforces.com/problemset/problem/1801/B,"data structures,greedy,sortings"
1839C | The Very Beautiful Blanket,https://codeforces.com/problemset/problem/1801/A,"bitmasks,constructive algorithms"
1839B | Symmetree,https://codeforces.com/problemset/problem/1800/G,"dfs and similar,hashing,implementation,trees"
1839A | Dasha and Nightmares,https://codeforces.com/problemset/problem/1800/F,"bitmasks,hashing,meet-in-the-middle,strings"
1838F | Unforgivable Curse (hard version),https://codeforces.com/problemset/problem/1800/E2,"brute force,constructive algorithms,dfs and similar,dsu,graphs,greedy,strings"
1838E | Unforgivable Curse (easy version),https://codeforces.com/problemset/problem/1800/E1,"brute force,constructive algorithms,dsu,graphs,greedy,strings"
1838D | Remove Two Letters,https://codeforces.com/problemset/problem/1800/D,"data structures,greedy,hashing,strings"
1838C | Powering the Hero (hard version),https://codeforces.com/problemset/problem/1800/C2,"data structures,greedy"
1838B | Powering the Hero (easy version),https://codeforces.com/problemset/problem/1800/C1,"data structures,greedy"
1838A | Count the Number of Pairs,https://codeforces.com/problemset/problem/1800/B,"greedy,strings"
1837F | Is It a Cat?,https://codeforces.com/problemset/problem/1800/A,"implementation,strings"
1837E | Tree Cutting,https://codeforces.com/problemset/problem/1799/H,"bitmasks,dfs and similar,dp"
1837D | Count Voting,https://codeforces.com/problemset/problem/1799/G,"combinatorics,dp,math"
1837C | Halve or Subtract,https://codeforces.com/problemset/problem/1799/F,"binary search,brute force,dp,greedy,sortings"
1837B | City Union,https://codeforces.com/problemset/problem/1799/E,"constructive algorithms,dfs and similar,dsu,geometry,greedy,implementation,math"
1837A | Hot Start Up (hard version),https://codeforces.com/problemset/problem/1799/D2,"data structures,dp"
1836B | Hot Start Up (easy version),https://codeforces.com/problemset/problem/1799/D1,dp
1836A | Double Lexicographically Minimum,https://codeforces.com/problemset/problem/1799/C,"greedy,strings"
1835F | Equalize by Divide,https://codeforces.com/problemset/problem/1799/B,"brute force,constructive algorithms,greedy,math"
1835E | Recent Actions,https://codeforces.com/problemset/problem/1799/A,"data structures,greedy,implementation,math"
1835D | Gifts from Grandfather Ahmed,https://codeforces.com/problemset/problem/1798/F,"dp,math,number theory"
1835C | Multitest Generator,https://codeforces.com/problemset/problem/1798/E,"brute force,dp"
